epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69611,1.53495,3.72792,4.0363,1.68314,0.55951,0.14921,0.15182,0.11207,0.51734,0.15149,0.13737,0.09841,1.41344,3.86984,5.52406,1.82253,0.0001125,0.0001125,0.0001125
2,5.41995,1.12376,2.26578,2.1529,1.36929,0.26853,0.27817,0.25953,0.16139,0.24721,0.25595,0.22996,0.14135,1.47755,2.83692,14.2978,1.79365,0.000235933,0.000235933,0.000235933
3,7.92766,0.9958,1.64154,1.56307,1.19989,0.48884,0.45549,0.42586,0.24817,0.52597,0.4705,0.41524,0.2179,1.49257,2.14791,6.63876,1.80393,0.000357715,0.000357715,0.000357715
4,10.3882,1.02501,1.50357,1.32718,1.203,0.52166,0.51396,0.4714,0.27992,0.50508,0.41823,0.43888,0.19578,1.385,2.99782,4.31873,1.70064,0.000477848,0.000477848,0.000477848
5,12.844,1.03084,1.54189,1.34937,1.2002,0.55049,0.42321,0.48864,0.21765,0.47119,0.38016,0.43315,0.19612,1.65314,4.10756,4.57977,2.05144,0.00059633,0.00059633,0.00059633
6,15.2528,1.0398,1.39607,1.26045,1.19036,0.56278,0.63741,0.58599,0.25411,0.48964,0.4369,0.40921,0.17886,1.81079,4.52898,3.58503,2.2062,0.000713162,0.000713162,0.000713162
7,17.6583,1.03366,1.41186,1.06865,1.18809,0.40497,0.42143,0.33373,0.1451,0.37921,0.37415,0.28073,0.09867,2.04904,5.77672,3.63515,2.42779,0.000828345,0.000828345,0.000828345
8,20.0607,0.98784,1.38002,1.02922,1.16821,0.22214,0.60979,0.21113,0.07593,0.26143,0.37612,0.18392,0.04558,1.85615,6.59763,8.48089,2.45492,0.000941877,0.000941877,0.000941877
9,22.4543,1.0416,1.38952,1.05008,1.20656,0.41952,0.44058,0.41467,0.1853,0.45308,0.35051,0.36628,0.16145,2.14677,4.85568,4.37296,2.81562,0.00105376,0.00105376,0.00105376
10,24.85,1.0497,1.39836,0.99821,1.19186,0.39285,0.45452,0.36825,0.16388,0.37977,0.36692,0.29888,0.12251,2.38777,7.84796,5.57184,3.4782,0.00116399,0.00116399,0.00116399
11,27.2486,1.07271,1.25103,1.03783,1.22516,0.42792,0.5832,0.49644,0.24203,0.41467,0.55999,0.44959,0.21074,1.86444,3.80866,7.56205,2.83473,0.0011675,0.0011675,0.0011675
12,29.646,1.00274,1.24586,0.96609,1.16767,0.47478,0.72306,0.57212,0.2625,0.40309,0.64729,0.5026,0.22932,1.75052,2.32965,5.32819,2.30024,0.00115925,0.00115925,0.00115925
13,32.0708,0.98615,1.32919,0.89939,1.12975,0.41352,0.74357,0.55934,0.28212,0.59311,0.552,0.58973,0.2879,1.4741,2.41218,4.22122,1.88327,0.001151,0.001151,0.001151
14,34.5072,1.01188,1.28577,0.92078,1.14391,0.67385,0.65519,0.73428,0.39232,0.64136,0.74498,0.68758,0.34791,1.35723,1.82963,2.85251,1.64054,0.00114275,0.00114275,0.00114275
15,36.9931,0.97726,1.25687,0.85798,1.12303,0.6425,0.70435,0.72914,0.36352,0.62588,0.65311,0.63045,0.33145,1.43667,2.88321,2.79875,1.81529,0.0011345,0.0011345,0.0011345
16,39.3746,0.93421,1.1429,0.85668,1.13101,0.78746,0.72751,0.84394,0.45608,0.80804,0.7195,0.82892,0.49841,1.36837,1.59896,1.87578,1.6133,0.00112625,0.00112625,0.00112625
17,41.7885,0.94571,1.10287,0.85155,1.11506,0.73602,0.70615,0.75857,0.38072,0.71768,0.68532,0.70338,0.41215,1.34911,1.93147,1.81152,1.54828,0.001118,0.001118,0.001118
18,44.2233,0.88563,1.17431,0.80773,1.10851,0.63592,0.73822,0.71128,0.34181,0.67754,0.78204,0.78322,0.37515,1.49213,1.52846,2.20993,1.67741,0.00110975,0.00110975,0.00110975
19,46.6124,0.99526,1.20214,0.88923,1.17178,0.84809,0.66808,0.76732,0.41657,0.86502,0.67919,0.75944,0.3796,1.45571,1.66307,1.30907,1.68602,0.0011015,0.0011015,0.0011015
20,49.0039,0.99725,1.22743,0.87662,1.17132,0.58541,0.75633,0.76195,0.43027,0.57708,0.75413,0.72752,0.35425,1.37672,1.90326,1.5562,1.65028,0.00109325,0.00109325,0.00109325
21,51.3889,0.93522,1.13881,0.79673,1.12714,0.75909,0.68479,0.74427,0.41422,0.72142,0.62758,0.66196,0.40077,1.34766,1.59257,1.54977,1.61192,0.001085,0.001085,0.001085
22,53.78,0.90994,1.083,0.739,1.0958,0.79594,0.74898,0.80572,0.45041,0.70607,0.69996,0.70556,0.37672,1.38107,1.73444,1.44652,1.58003,0.00107675,0.00107675,0.00107675
23,56.1741,0.88014,1.15432,0.75034,1.08515,0.79326,0.7371,0.81643,0.45158,0.76454,0.71488,0.77778,0.36456,1.34944,1.98984,1.32251,1.58941,0.0010685,0.0010685,0.0010685
24,58.57,0.92184,1.11375,0.7902,1.11463,0.87965,0.79799,0.8671,0.51029,0.83754,0.75972,0.82654,0.50337,1.18087,1.0949,1.31069,1.42636,0.00106025,0.00106025,0.00106025
25,61.009,0.88548,1.08671,0.71941,1.05488,0.81485,0.81518,0.86785,0.49478,0.79617,0.79392,0.84467,0.45033,1.18972,1.1316,1.10189,1.39487,0.001052,0.001052,0.001052
26,63.4028,0.87471,1.086,0.71973,1.05785,0.81253,0.90437,0.90638,0.54017,0.76855,0.8499,0.81029,0.50086,1.16897,1.04361,0.92322,1.3716,0.00104375,0.00104375,0.00104375
27,65.8238,0.83823,1.04558,0.66574,1.0757,0.76824,0.85541,0.88389,0.53946,0.75464,0.85736,0.85711,0.54195,1.19188,1.03464,1.15264,1.40555,0.0010355,0.0010355,0.0010355
28,68.2686,0.83137,0.99136,0.67397,1.08371,0.79968,0.85301,0.8575,0.52071,0.69359,0.76766,0.73328,0.46067,1.12326,1.14695,1.13619,1.36506,0.00102725,0.00102725,0.00102725
29,70.6519,0.82171,1.00159,0.68474,1.07678,0.7242,0.84202,0.84259,0.51245,0.64194,0.74378,0.73739,0.45114,1.11139,1.4175,1.15682,1.33262,0.001019,0.001019,0.001019
30,73.0414,0.91324,1.1523,0.72808,1.09742,0.7397,0.68919,0.81339,0.47451,0.65501,0.70218,0.73952,0.40607,1.21781,1.72917,1.41006,1.48034,0.00101075,0.00101075,0.00101075
31,75.4239,0.89509,1.08155,0.71203,1.11462,0.84075,0.84944,0.87545,0.48485,0.80689,0.76605,0.79799,0.41756,1.18498,1.26387,1.01243,1.41216,0.0010025,0.0010025,0.0010025
32,77.8108,0.86189,1.10031,0.72516,1.06283,0.76407,0.83352,0.90017,0.49694,0.76009,0.81713,0.86935,0.51277,1.1719,1.24354,1.00507,1.41283,0.00099425,0.00099425,0.00099425
33,80.2122,0.8914,1.14446,0.74413,1.07987,0.79423,0.81238,0.89107,0.52788,0.79423,0.81238,0.88421,0.5187,1.13436,1.0168,1.54245,1.41375,0.000986,0.000986,0.000986
34,82.5896,0.82632,1.03165,0.68654,1.05558,0.84567,0.88829,0.89063,0.51748,0.8705,0.90913,0.91235,0.5416,1.17646,1.01359,1.06221,1.38304,0.00097775,0.00097775,0.00097775
35,84.9697,0.84435,1.02469,0.64156,1.07886,0.81573,0.90318,0.90062,0.56802,0.85499,0.93102,0.93883,0.58066,1.08548,0.99632,0.91308,1.33519,0.0009695,0.0009695,0.0009695
36,87.3788,0.83451,0.96598,0.68912,1.07112,0.8638,0.91665,0.91923,0.5664,0.87713,0.90384,0.89571,0.52089,1.08518,0.92707,0.82527,1.3163,0.00096125,0.00096125,0.00096125
37,89.7618,0.81074,1.05214,0.68153,1.07475,0.86371,0.81981,0.88323,0.53151,0.86078,0.8445,0.89909,0.51598,1.16724,0.99318,0.9848,1.39587,0.000953,0.000953,0.000953
38,92.156,0.84481,1.02116,0.63485,1.09656,0.91073,0.85937,0.90139,0.54787,0.89384,0.83765,0.88879,0.46795,1.15465,1.03558,0.88093,1.33087,0.00094475,0.00094475,0.00094475
39,94.5437,0.79835,1.02926,0.65945,1.05514,0.84683,0.86974,0.91252,0.57169,0.80415,0.82968,0.8289,0.50123,1.03485,0.99381,0.81743,1.26251,0.0009365,0.0009365,0.0009365
40,96.9417,0.80461,1.02187,0.61128,1.05026,0.89233,0.87017,0.90712,0.54963,0.86548,0.8496,0.87882,0.5073,1.07563,1.01011,0.92412,1.28276,0.00092825,0.00092825,0.00092825
41,99.3249,0.79371,1.00078,0.6255,1.04401,0.88064,0.83042,0.87801,0.5645,0.84306,0.79848,0.82246,0.49876,1.07281,1.03556,0.89578,1.25401,0.00092,0.00092,0.00092
42,101.718,0.79286,0.97832,0.63845,1.04445,0.86839,0.86544,0.92574,0.57076,0.90955,0.82948,0.91684,0.56406,1.1607,0.94943,0.86611,1.30625,0.00091175,0.00091175,0.00091175
43,104.096,0.7701,0.96019,0.65269,1.04208,0.89042,0.89127,0.93622,0.57676,0.89042,0.89127,0.92933,0.5792,1.10066,0.88133,0.79044,1.31166,0.0009035,0.0009035,0.0009035
44,106.512,0.7458,0.88281,0.60392,1.03089,0.91126,0.86266,0.91018,0.57304,0.90554,0.86533,0.90713,0.55009,1.09393,0.87339,0.77482,1.32019,0.00089525,0.00089525,0.00089525
45,108.902,0.79067,0.96392,0.61275,1.05114,0.93462,0.85119,0.90726,0.57101,0.91084,0.86954,0.90125,0.53399,1.04246,0.9105,0.81482,1.25973,0.000887,0.000887,0.000887
46,111.287,0.73386,0.87864,0.56098,1.00486,0.90442,0.8984,0.93486,0.59047,0.88315,0.86078,0.86919,0.54219,1.0506,1.01523,0.79642,1.25846,0.00087875,0.00087875,0.00087875
47,113.676,0.73458,0.86485,0.56156,1.01924,0.91473,0.9141,0.9498,0.62778,0.85794,0.85016,0.85475,0.47993,0.98313,1.24705,0.72119,1.19996,0.0008705,0.0008705,0.0008705
48,116.071,0.74719,0.87117,0.59742,1.02234,0.87323,0.91343,0.92523,0.53621,0.84865,0.86156,0.88925,0.5272,1.08743,1.11459,0.76223,1.24397,0.00086225,0.00086225,0.00086225
